Epoch,Training Time (s),Loss,GPU0 Util (%),GPU0 Memory (GB),GPU0 Avg Power (W),GPU1 Util (%),GPU1 Memory (GB),GPU1 Avg Power (W),GPU2 Util (%),GPU2 Memory (GB),GPU2 Avg Power (W),GPU3 Util (%),GPU3 Memory (GB),GPU3 Avg Power (W)
1,79.81377363204956,2.2490016234164334,4.0,0.2314453125,41.09,0.0,3.6533203125,61.56,0.0,3.6513671875,55.29,0.0,3.6513671875,59.95
2,77.52225399017334,2.22231239931924,53.333333333333336,3.8154296875,89.87384615384616,29.692307692307693,3.6533203125,95.47358974358974,29.94871794871795,3.6513671875,97.5525641025641,29.307692307692307,3.6513671875,98.88076923076925
3,58.67648148536682,2.2311535927714132,0.0,3.8154296875,54.66,19.0,3.6533203125,61.88,0.0,3.6513671875,56.99,0.0,3.6513671875,61.96
4,58.9330632686615,2.2208146233947907,0.0,3.8154296875,43.14,0.0,3.6533203125,51.46,0.0,3.6513671875,44.9,0.0,3.6513671875,49.05
5,59.226958990097046,2.211162401705372,0.0,3.8154296875,43.1,19.0,3.6533203125,63.18,12.0,3.6513671875,57.35,0.0,3.6513671875,62.33
6,57.780954122543335,2.1998550940533073,0.0,3.8154296875,45.8,0.0,3.6533203125,63.75,19.0,3.6513671875,57.65,0.0,3.6513671875,62.31
7,78.29084777832031,2.200176015192149,54.275,3.8154296875,81.73825,23.6,3.6533203125,89.70275,29.675,3.6513671875,99.26525000000001,28.2,3.6513671875,90.25000000000001
8,60.09051513671875,2.2204074689320157,0.0,3.8154296875,59.3,5.0,3.6533203125,61.19,0.0,3.6513671875,57.18,0.0,3.6513671875,61.34
9,60.88135886192322,2.2059259536314983,0.0,3.8154296875,60.4,0.0,3.6533203125,62.03,0.0,3.6513671875,56.97,0.0,3.6513671875,61.98
10,56.63984990119934,2.216742061838812,0.0,3.8154296875,60.94,9.0,3.6533203125,61.69,0.0,3.6513671875,57.15,0.0,3.6513671875,61.3
11,59.86406230926514,2.212923520681809,0.0,3.8154296875,43.53,22.0,3.6533203125,61.97,0.0,3.6513671875,56.85,0.0,3.6513671875,61.81
12,74.56818008422852,2.2092475684321657,55.8421052631579,3.8154296875,82.78210526315787,26.86842105263158,3.6533203125,95.18684210526315,28.394736842105264,3.6513671875,89.87763157894737,27.263157894736842,3.6513671875,96.8336842105263
13,74.7295823097229,2.198801428687816,53.21052631578947,3.8154296875,89.27184210526316,33.6578947368421,3.6533203125,105.29499999999999,35.13157894736842,3.6513671875,80.45263157894738,25.92105263157895,3.6513671875,104.2878947368421
14,56.55188775062561,2.2316684844542523,0.0,3.8154296875,76.65,19.0,3.6533203125,63.24,0.0,3.6513671875,57.07,0.0,3.6513671875,61.97
15,78.50411915779114,2.2376039867498436,52.125,3.8154296875,87.69925,30.9,3.6533203125,92.84375,28.975,3.6513671875,86.654,28.675,3.6513671875,99.35174999999997
16,63.75713300704956,2.2835563895653705,0.0,3.8154296875,45.35,0.0,3.6533203125,62.7,0.0,3.6513671875,56.54,0.0,3.6513671875,61.48
17,63.28335380554199,2.292625318984596,0.0,3.8154296875,45.01,2.0,3.6533203125,61.97,0.0,3.6513671875,56.79,0.0,3.6513671875,61.56
18,73.05037999153137,2.2914667859369393,0.0,3.8154296875,44.94,19.0,3.6533203125,62.85,0.0,3.6513671875,56.46,0.0,3.6513671875,61.47
19,85.89601516723633,2.277840087608415,49.38636363636363,3.8154296875,82.32772727272727,25.25,3.6533203125,94.1272727272727,26.772727272727273,3.6513671875,83.3640909090909,23.863636363636363,3.6513671875,88.42727272727274
20,72.62590909004211,2.3035353105895373,0.0,3.8154296875,45.34,6.0,3.6533203125,61.47,0.0,3.6513671875,55.25,0.0,3.6513671875,60.28
21,126.12938332557678,2.300891090412529,37.12698412698413,3.8154296875,68.14460317460318,19.49206349206349,3.6533203125,76.41365079365082,16.984126984126984,3.6513671875,73.65523809523809,16.444444444444443,3.6513671875,73.51603174603173
22,105.38898873329163,2.3032321528512605,45.77358490566038,3.8154296875,71.15452830188678,21.0188679245283,3.6533203125,87.12264150943395,23.641509433962263,3.6513671875,74.51830188679247,19.264150943396228,3.6513671875,78.5564150943396
23,60.164589405059814,2.2783777713775635,0.0,3.8154296875,44.56,0.0,3.6533203125,63.26,0.0,3.6513671875,56.71,0.0,3.6513671875,61.45
24,60.175128698349,2.283152007326788,0.0,3.8154296875,44.86,21.0,3.6533203125,62.6,0.0,3.6513671875,55.96,0.0,3.6513671875,62.1
25,65.96898412704468,2.2901299109264297,0.0,3.8154296875,57.62,14.0,3.6533203125,63.4,0.0,3.6513671875,56.88,0.0,3.6513671875,61.06
26,85.8479540348053,2.2882132676182962,52.72093023255814,3.8154296875,76.8013953488372,22.651162790697676,3.6533203125,92.84325581395349,28.13953488372093,3.6513671875,80.63511627906975,21.651162790697676,3.6513671875,83.36511627906977
27,60.01107144355774,2.2815815052207635,0.0,3.8154296875,54.28,23.0,3.6533203125,62.6,0.0,3.6513671875,56.58,0.0,3.6513671875,61.21
28,78.53391861915588,2.28696509161774,55.35,3.8154296875,84.19525,24.075,3.6533203125,94.76700000000001,27.075,3.6513671875,86.16,26.75,3.6513671875,90.91025000000002
29,76.33332991600037,2.2984580288127976,57.473684210526315,3.8154296875,77.1392105263158,23.68421052631579,3.6533203125,100.04368421052635,28.394736842105264,3.6513671875,93.19210526315791,29.973684210526315,3.6513671875,93.73763157894737
30,61.92652368545532,2.3304678615258663,0.0,3.8154296875,55.6,18.0,3.6533203125,62.04,0.0,3.6513671875,55.72,0.0,3.6513671875,61.42
31,56.948312520980835,2.309577463840952,0.0,3.8154296875,59.95,0.0,3.6533203125,61.92,0.0,3.6513671875,55.19,0.0,3.6513671875,61.44
32,58.987637519836426,2.3070026392839393,0.0,3.8154296875,58.49,26.0,3.6533203125,62.54,0.0,3.6513671875,57.16,0.0,3.6513671875,61.78
33,60.964749336242676,2.326078719022323,0.0,3.8154296875,54.41,19.0,3.6533203125,62.63,0.0,3.6513671875,56.36,0.0,3.6513671875,61.49
34,75.11771821975708,2.348251929088515,60.94736842105263,3.8154296875,83.9634210526316,30.210526315789473,3.6533203125,95.16447368421052,28.263157894736842,3.6513671875,84.4855263157895,28.92105263157895,3.6513671875,91.7228947368421
35,58.23904776573181,2.335784361070516,0.0,3.8154296875,73.77,19.0,3.6533203125,61.88,0.0,3.6513671875,56.78,0.0,3.6513671875,62.12
36,59.790541648864746,2.3172965207878424,0.0,3.8154296875,66.98,0.0,3.6533203125,63.21,0.0,3.6513671875,56.13,0.0,3.6513671875,61.38
37,60.4004111289978,2.3135786470101802,0.0,3.8154296875,54.59,0.0,3.6533203125,61.77,0.0,3.6513671875,56.61,0.0,3.6513671875,61.46
38,79.82683944702148,2.3064245861403796,56.675,3.8154296875,85.27000000000002,31.375,3.6533203125,93.34475000000003,32.05,3.6513671875,84.81075000000001,27.075,3.6513671875,86.88725000000002
39,80.50827240943909,2.3024333046407115,48.5609756097561,3.8154296875,80.97146341463416,23.0,3.6533203125,90.01585365853656,24.024390243902438,3.6513671875,86.7980487804878,24.170731707317074,3.6513671875,88.30414634146344
40,74.58983612060547,2.302247068103479,59.26315789473684,3.8154296875,96.56447368421048,31.42105263157895,3.6533203125,90.24157894736841,30.263157894736842,3.6513671875,93.75894736842105,30.763157894736842,3.6513671875,92.64157894736843
41,61.4009964466095,2.3058523876326427,0.0,3.8154296875,86.36,18.0,3.6533203125,63.9,0.0,3.6513671875,55.98,0.0,3.6513671875,61.79
42,85.36956787109375,2.306342279424473,56.73809523809524,3.8154296875,79.14190476190477,26.857142857142858,3.6533203125,84.75833333333331,24.976190476190474,3.6513671875,92.25880952380952,27.595238095238095,3.6513671875,98.1140476190476
43,59.174803495407104,2.2970528590435886,0.0,3.8154296875,56.35,18.0,3.6533203125,61.89,0.0,3.6513671875,55.53,0.0,3.6513671875,62.79
44,62.43571662902832,2.3018073597732855,0.0,3.8154296875,54.11,0.0,3.6533203125,62.7,0.0,3.6513671875,56.37,0.0,3.6513671875,62.49
45,57.944430351257324,2.2968029902905833,0.0,3.8154296875,42.92,0.0,3.6533203125,61.84,27.0,3.6513671875,56.11,0.0,3.6513671875,62.18
46,63.13689303398132,2.3014351530950896,0.0,3.8154296875,55.42,0.0,3.6533203125,61.77,0.0,3.6513671875,55.23,0.0,3.6513671875,62.04
47,58.28212857246399,2.303599632516199,0.0,3.8154296875,45.01,26.0,3.6533203125,62.18,0.0,3.6513671875,57.51,0.0,3.6513671875,61.85
48,83.54489541053772,2.2983244912964955,53.92857142857143,3.8154296875,87.1947619047619,25.952380952380953,3.6533203125,86.70976190476192,25.476190476190474,3.6513671875,93.19880952380954,26.38095238095238,3.6513671875,91.82285714285713
49,59.95600938796997,2.294052695741459,0.0,3.8154296875,53.98,0.0,3.6533203125,61.81,0.0,3.6513671875,57.15,0.0,3.6513671875,61.7
50,61.16090154647827,2.300493782880355,0.0,3.8154296875,45.47,18.0,3.6533203125,62.71,0.0,3.6513671875,56.32,0.0,3.6513671875,62.28
Average,68.97892521381378,2.2766545534863765,18.134613612331712,3.74375,63.5642806592956,15.794120619445577,3.6533203125,72.232883768638,10.523715122811828,3.6513671875,66.66715642412254,8.844402285930649,3.6513671875,71.40859180782755
